;note_num;note_name
0;32.0;gis'''
1;29.0;f'''
2;1.0;cis'
3;19.0;g''
4;3.0;dis'
5;20.0;gis''
6;33.0;a'''
7;24.0;c'''
8;16.0;e''
9;29.0;f'''
10;15.0;dis''
11;5.0;f'
12;15.0;dis''
13;27.0;dis'''
14;30.0;fis'''
15;4.0;e'
16;26.0;d'''
17;32.0;gis'''
18;14.0;d''
19;34.0;as'''
20;27.0;dis'''
21;13.0;cis''
22;32.0;gis'''
23;15.0;dis''
24;30.0;fis'''
25;23.0;b''
26;34.0;as'''
27;15.0;dis''
28;2.0;d'
29;30.0;fis'''
30;12.0;c''
31;34.0;as'''
32;15.0;dis''
33;32.0;gis'''
34;1.0;cis'
35;6.0;fis'
36;10.0;as'
37;12.0;c''
38;31.0;g'''
39;28.0;e'''
40;25.0;cis'''
41;19.0;g''
42;0.0;c'
43;11.0;b'
44;34.0;as'''
45;14.0;d''
46;11.0;b'
47;25.0;cis'''
48;31.0;g'''
49;2.0;d'
50;5.0;f'
51;0.0;c'
52;30.0;fis'''
53;2.0;d'
54;32.0;gis'''
55;27.0;dis'''
56;31.0;g'''
57;18.0;fis''
58;32.0;gis'''
59;11.0;b'
60;3.0;dis'
61;17.0;f''
62;28.0;e'''
63;5.0;f'
64;7.0;g'
65;18.0;fis''
66;31.0;g'''
67;25.0;cis'''
68;8.0;gis'
69;19.0;g''
70;26.0;d'''
71;0.0;c'
72;25.0;cis'''
73;22.0;as''
74;16.0;e''
75;3.0;dis'
76;23.0;b''
77;8.0;gis'
78;34.0;as'''
79;27.0;dis'''
80;26.0;d'''
81;10.0;as'
82;28.0;e'''
83;17.0;f''
84;10.0;as'
85;11.0;b'
86;10.0;as'
87;17.0;f''
88;22.0;as''
89;33.0;a'''
90;3.0;dis'
91;26.0;d'''
92;4.0;e'
93;8.0;gis'
94;16.0;e''
95;29.0;f'''
96;20.0;gis''
97;20.0;gis''
98;4.0;e'
99;32.0;gis'''
100;34.0;as'''
101;25.0;cis'''
102;28.0;e'''
103;2.0;d'
104;31.0;g'''
105;22.0;as''
106;30.0;fis'''
107;30.0;fis'''
108;33.0;a'''
109;34.0;as'''
110;10.0;as'
111;5.0;f'
112;9.0;a'
113;11.0;b'
114;21.0;a''
115;17.0;f''
116;14.0;d''
117;21.0;a''
118;16.0;e''
119;0.0;c'
120;33.0;a'''
121;1.0;cis'
122;27.0;dis'''
123;20.0;gis''
124;11.0;b'
125;3.0;dis'
126;29.0;f'''
127;3.0;dis'
128;13.0;cis''
129;16.0;e''
130;29.0;f'''
131;9.0;a'
132;13.0;cis''
133;24.0;c'''
134;8.0;gis'
135;25.0;cis'''
136;2.0;d'
137;4.0;e'
138;22.0;as''
139;29.0;f'''
140;24.0;c'''
141;3.0;dis'
142;2.0;d'
143;23.0;b''
144;28.0;e'''
145;17.0;f''
146;31.0;g'''
147;14.0;d''
148;3.0;dis'
149;33.0;a'''
150;6.0;fis'
151;11.0;b'
152;21.0;a''
153;22.0;as''
154;32.0;gis'''
155;21.0;a''
156;25.0;cis'''
157;32.0;gis'''
158;33.0;a'''
159;26.0;d'''
160;6.0;fis'
161;5.0;f'
162;32.0;gis'''
163;10.0;as'
164;16.0;e''
165;33.0;a'''
166;11.0;b'
167;10.0;as'
168;28.0;e'''
169;20.0;gis''
170;15.0;dis''
171;34.0;as'''
172;25.0;cis'''
173;17.0;f''
174;30.0;fis'''
175;10.0;as'
176;23.0;b''
177;22.0;as''
178;13.0;cis''
179;30.0;fis'''
180;6.0;fis'
181;10.0;as'
182;12.0;c''
183;20.0;gis''
184;5.0;f'
185;23.0;b''
186;0.0;c'
187;21.0;a''
188;2.0;d'
189;0.0;c'
190;25.0;cis'''
191;19.0;g''
192;31.0;g'''
193;5.0;f'
194;16.0;e''
195;20.0;gis''
196;16.0;e''
197;32.0;gis'''
198;4.0;e'
199;27.0;dis'''
200;33.0;a'''
201;26.0;d'''
